institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
U Montana Western,Real Estate,2004,10,0,3,0,MT
U Montana Western,Real Estate,2007,1,2,5,.40000001,MT
U Montana Western,Real Estate,2007,5,1,12,.083333336,MT
U Montana Western,Real Estate,2007,10,2,3,.66666669,MT
U Montana Western,Real Estate,2010,1,5,5,1,MT
U Montana Western,Real Estate,2010,5,1,3,.33333334,MT
U Montana Western,Real Estate,2010,10,3,3,1,MT
U Montana Western,Real Estate,2013,1,2,4,.5,MT
U Montana Western,Real Estate,2013,5,2,10,.2,MT
U Montana Western,Real Estate,2013,10,,,,MT
U Montana Western,Real Estate,2016,1,7,11,.63636363,MT
U Montana Western,Real Estate,2016,5,4,12,.33333334,MT
U Montana Western,Real Estate,2016,10,,,,MT
U Montana Western,Real Estate,2019,1,4,7,.5714286,MT
U Montana Western,Real Estate,2019,5,,,,MT
U Montana Western,Real Estate,2019,10,,,,MT
U Montana Western,Retail,2004,1,21,25,.83999997,MT
U Montana Western,Retail,2004,5,9,29,.31034482,MT
U Montana Western,Retail,2004,10,6,21,.2857143,MT
U Montana Western,Retail,2007,1,19,34,.55882353,MT
U Montana Western,Retail,2007,5,10,25,.40000001,MT
U Montana Western,Retail,2007,10,12,31,.38709676,MT
U Montana Western,Retail,2010,1,18,32,.5625,MT
U Montana Western,Retail,2010,5,19,43,.44186047,MT
U Montana Western,Retail,2010,10,18,34,.52941179,MT
U Montana Western,Retail,2013,1,21,45,.46666667,MT
U Montana Western,Retail,2013,5,19,43,.44186047,MT
U Montana Western,Retail,2013,10,,,,MT
U Montana Western,Retail,2016,1,19,39,.48717949,MT
U Montana Western,Retail,2016,5,24,47,.5106383,MT
